fight_name,fighter_1_reaction_speed,fighter_2_reaction_speed,reaction_speed_diff,reaction_speed_advantage,fighter_1_stamina,fighter_2_stamina,stamina_diff,stamina_advantage,fighter_1_strength,fighter_2_strength,strength_diff,strength_advantage,fighter_1_offense,fighter_2_offense,offense_diff,offense_advantage,fighter_1_defense,fighter_2_defense,defense_diff,defense_advantage,fighter_1_combat_skills,fighter_2_combat_skills,combat_skills_diff,combat_skills_advantage,fighter_1_battle_iq,fighter_2_battle_iq,battle_iq_diff,battle_iq_advantage,fighter_1_armament_haki,fighter_2_armament_haki,armament_haki_diff,armament_haki_advantage,fighter_1_observation_haki,fighter_2_observation_haki,observation_haki_diff,observation_haki_advantage,fighter_1_conqueror_haki,fighter_2_conqueror_haki,conqueror_haki_diff,conqueror_haki_advantage,fighter_1_experience,fighter_2_experience,experience_diff,experience_advantage,outcome
Monkey D. Luffy vs Roronoa Zoro,9.0,9.0,0.0,0,9.0,9.0,0.0,0,10.0,9.5,0.5,1,10.0,10.0,0.0,0,8.0,7.5,0.5,1,9.0,10.0,-1.0,0,8.0,8.5,-0.5,0,9.0,9.0,0.0,0,9.0,6.5,2.5,1,1.0,1.0,0.0,0,9.0,9.0,0.0,0,victory
Monkey D. Luffy vs Kaidou,9.0,8.5,0.5,1,9.0,10.0,-1.0,0,10.0,10.0,0.0,0,10.0,10.0,0.0,0,8.0,10.0,-2.0,0,9.0,9.5,-0.5,0,8.0,8.5,-0.5,0,9.0,10.0,-1.0,0,9.0,8.0,1.0,1,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Nami,9.0,6.5,2.5,1,9.0,5.5,3.5,1,10.0,3.0,7.0,1,10.0,6.5,3.5,1,8.0,4.5,3.5,1,9.0,6.0,3.0,1,8.0,8.0,0.0,0,9.0,1.0,8.0,1,9.0,1.5,7.5,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Sanji,9.0,8.5,0.5,1,9.0,8.5,0.5,1,10.0,8.0,2.0,1,10.0,8.5,1.5,1,8.0,7.0,1.0,1,9.0,9.0,0.0,0,8.0,8.0,0.0,0,9.0,8.0,1.0,1,9.0,8.0,1.0,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Trafalgar D. Water Law,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,9.0,1.0,1,8.0,7.5,0.5,1,9.0,8.0,1.0,1,8.0,9.0,-1.0,0,9.0,8.0,1.0,1,9.0,7.0,2.0,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Nico Robin,9.0,6.0,3.0,1,9.0,6.5,2.5,1,10.0,4.5,5.5,1,10.0,7.0,3.0,1,8.0,5.5,2.5,1,9.0,7.5,1.5,1,8.0,8.5,-0.5,0,9.0,3.5,5.5,1,9.0,4.0,5.0,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Boa Hancock,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,8.5,1.5,1,10.0,9.5,0.5,1,8.0,7.0,1.0,1,9.0,9.0,0.0,0,8.0,8.0,0.0,0,9.0,8.0,1.0,1,9.0,8.0,1.0,1,1.0,1.0,0.0,0,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Carrot,9.0,7.5,1.5,1,9.0,6.5,2.5,1,10.0,6.5,3.5,1,10.0,7.0,3.0,1,8.0,5.5,2.5,1,9.0,7.0,2.0,1,8.0,6.0,2.0,1,9.0,0.0,9.0,1,9.0,0.0,9.0,1,1.0,0.0,1.0,1,9.0,5.5,3.5,1,victory
Monkey D. Luffy vs Portgas D. Ace,9.0,8.0,1.0,1,9.0,9.0,0.0,0,10.0,9.0,1.0,1,10.0,9.5,0.5,1,8.0,7.5,0.5,1,9.0,9.0,0.0,0,8.0,8.0,0.0,0,9.0,8.0,1.0,1,9.0,8.0,1.0,1,1.0,1.0,0.0,0,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Sabo,9.0,9.0,0.0,0,9.0,8.5,0.5,1,10.0,9.0,1.0,1,10.0,9.0,1.0,1,8.0,8.0,0.0,0,9.0,9.5,-0.5,0,8.0,9.0,-1.0,0,9.0,9.0,0.0,0,9.0,8.0,1.0,1,1.0,0.0,1.0,1,9.0,9.0,0.0,0,victory
